"X1","X2","X3","X4","X5","X6","X7","X8"
1,0,3,20,0.38318033467319,0.038432068567392,0.196040986957809,0.668746255253907
1,0,3,100,0.259206075171367,0.0181403240383142,0.13468602020371,0.677118533432374
1,0,7,20,0.281509520361273,0.0327847405183354,0.18106556966562,0.684499359264492
1,0,7,100,0.24432213121645,0.0158718881526253,0.125983682088695,0.681257310595091
1,1,0,20,NA,NA,NA,NA
1,1,0,100,NA,NA,NA,NA
1,1,1,20,0.380336859057438,0.0381490611439374,0.195317846455303,0.668530468357349
1,1,1,100,0.256681319117353,0.0180469040527244,0.134338766008641,0.676026980580172
1,1,3,20,0.0499937913768927,0.00249937917623627,0.0499937913768927,0.570563899809201
1,1,3,100,NA,NA,NA,NA
1,1,7,20,0.284997768425052,0.0380094648254553,0.194960162149746,0.684914182375186
1,1,7,100,0.244208107708151,0.0300348390785894,0.173305623332278,0.6939905719082
1,2,0,20,NA,NA,NA,NA
1,2,0,100,NA,NA,NA,NA
1,2,1,20,NA,NA,NA,NA
1,2,1,100,NA,NA,NA,NA
1,2,3,20,0.100702926062965,0.0546333837481964,0.233737852621685,0.747783093377549
1,2,3,100,0.0316917469642799,0.0202623004386208,0.142345707482245,0.684694183585547
1,2,7,20,0.156677382913707,0.0485553233068383,0.22035272475474,0.744261101867849
1,2,7,100,NA,NA,NA,NA
3,0,0,20,0.380956597535626,0.0384040545067982,0.19596952443377,0.668668202415868
3,0,0,100,0.257346923250135,0.0180106463204293,0.134203749278585,0.676833131098605
3,0,1,20,0.383127622186808,0.0384406938452445,0.196062984383194,0.668734031606591
3,0,1,100,0.259133031218086,0.0181585130478518,0.134753527033068,0.677042800223431
3,0,3,20,0.275911422326356,0.0343032180193692,0.185211279406437,0.735818000554449
3,0,3,100,0.237708091623926,0.0156848190128122,0.125239047476465,0.717403447260011
3,0,7,20,0.0449611857664127,0.0271989618379083,0.164921077603526,0.685803867346932
3,0,7,100,0.0172653692697257,0.00526193396136184,0.0725391891418828,0.677883958983489
3,1,0,20,NA,NA,NA,NA
3,1,0,100,NA,NA,NA,NA
3,1,1,20,0.381240724072161,0.0388721196414006,0.197160137049558,0.669058269503781
3,1,1,100,0.257556968913278,0.0182198383760087,0.134980881520342,0.676659341198157
3,1,3,20,0.362866887369626,0.0397971656224312,0.199492269580631,0.730724425545393
3,1,3,100,0.251795832453468,0.0214723235490984,0.146534376680349,0.697502802343833
3,1,7,20,0.411574397061056,0.0370160117444009,0.192395456662575,0.671781667926429
3,1,7,100,0.0199724427477887,0.00186106290384222,0.043140038292081,0.701291282458505
3,2,0,20,NA,NA,NA,NA
3,2,0,100,NA,NA,NA,NA
3,2,1,20,NA,NA,NA,NA
3,2,1,100,NA,NA,NA,NA
3,2,3,20,0.426099712070641,0.0479461703347204,0.218966139699088,0.721368611409027
